,count,mean,std,min,25%,50%,75%,max
con30e,1018.0,0.3241883762633162,0.16487922573597408,0.0128240271620832,0.19402526514021923,0.300274436738141,0.43826156460735627,0.90042097298314
con30f,310.0,0.11125936762716677,0.052909865880155046,0.006543508066567,0.07281758618341969,0.10920488650378851,0.14633644189605427,0.289908104554862
con30g,874.0,0.20975445829116882,0.1171816032211176,0.0143975392565143,0.1214293730403585,0.1870265858933805,0.27657673628627827,0.760014240549485
con30h,598.0,0.1640731531731199,0.0732549743751704,0.0173545219223082,0.112321256894807,0.156988240865704,0.20640457581706123,0.439238324661798
con31a,790.0,0.2410022596131804,0.12363464332010764,0.0,0.1401333506605095,0.227018651837743,0.33841111269219953,0.573908080372346
con31b,589.0,0.134002015978155,0.05252997778140243,0.0095911638435006,0.0994520428433281,0.130823675464082,0.163594681515074,0.364977934635038
con31c,193.0,0.09673165008746976,0.05597370550605713,0.0,0.0544602365714217,0.0942853886393035,0.130757395531192,0.258744103113084
con31d,564.0,0.13065558003580013,0.0629293598579326,0.0,0.09011024025758069,0.13134734125568598,0.16609247051914,0.363593999452125
con31e,85.0,0.02627153769585747,0.017202889304719658,0.002054254546623,0.0132775786985003,0.0255755595810481,0.0347916917529131,0.0891026537373048
con31f,241.0,0.10762305449849882,0.052793622478056045,0.0016154535013423,0.0708968126278041,0.109865431502777,0.138038947479371,0.329036020715047
con31g,85.0,0.03750590683400814,0.02266274876969534,0.0020555836442432,0.0195694382203708,0.0327817461492113,0.0536753484057412,0.0994483621683359
con31h,336.0,0.1111121676094409,0.054346614341818374,0.0,0.07920886349758283,0.107605195748291,0.1365937932082245,0.44347615396349
con32a,646.0,0.219813717474923,0.10932311256160603,0.0019407172793535,0.13350212299646652,0.219467105646418,0.299227041008547,0.500844720267909
con32b,85.0,0.013272943397984386,0.011911131130170732,0.00037531179984266,0.0039614374917139,0.0094442596327579,0.0182275479360101,0.0555367746596261
